timeago,scale,city,region
"
      2018-12-31 13:33:10 UTC
    ",4.1 magnitude,Saiha,Mizoram
"
      2018-12-27 00:35:50 UTC
    ",5.0 magnitude,Mawlaik,Sagain
"
      2018-12-23 20:32:19 UTC
    ",4.7 magnitude,Khonsa,Arunachal Pradesh
"
      2018-11-29 03:57:37 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2018-11-20 17:49:19 UTC
    ",4.5 magnitude,Sittwe,Rakhine
"
      2018-11-19 19:03:07 UTC
    ",4.4 magnitude,Mawlaik,Sagain
"
      2018-11-19 04:07:53 UTC
    ",4.9 magnitude,Pakokku,Magway
"
      2018-11-10 17:15:46 UTC
    ",5.2 magnitude,Churāchāndpur,Manipur
"
      2018-11-06 22:50:42 UTC
    ",4.1 magnitude,Kakching,Manipur
"
      2018-11-05 19:48:36 UTC
    ",4.5 magnitude,Taungdwingyi,Magway
"
      2018-10-27 09:16:44 UTC
    ",4.9 magnitude,Pyay,Bago
"
      2018-10-26 20:49:51 UTC
    ",4.3 magnitude,Wāngjing,Manipur
"
      2018-10-10 10:28:04 UTC
    ",5.1 magnitude,Pyay,Bago
"
      2018-10-04 13:29:18 UTC
    ",4.5 magnitude,Pyinmana,Mandalay
"
      2018-09-10 16:57:40 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2018-09-08 02:31:31 UTC
    ",5.6 magnitude,Yuxi,Yunnan
"
      2018-09-01 19:19:46 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2018-08-18 12:03:49 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2018-08-16 11:55:19 UTC
    ",4.7 magnitude,Mawlaik,Sagain
"
      2018-08-16 06:50:11 UTC
    ",4.3 magnitude,Thongwa,Yangon
"
      2018-07-13 12:07:58 UTC
    ",4.7 magnitude,Pyay,Bago
"
      2018-07-04 20:34:52 UTC
    ",5.1 magnitude,Dawei,Tanintharyi
"
      2018-07-01 15:10:37 UTC
    ",4.6 magnitude,Loikaw,Kayah
"
      2018-06-27 13:02:31 UTC
    ",4.8 magnitude,Nay Pyi Taw,Mandalay
"
      2018-06-26 00:02:16 UTC
    ",4.6 magnitude,Monywa,Sagain
"
      2018-06-21 03:31:23 UTC
    ",4.4 magnitude,Churāchāndpur,Manipur
"
      2018-06-20 07:44:26 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2018-06-19 11:06:26 UTC
    ",4.3 magnitude,Hakha,Chin
"
      2018-06-18 13:56:48 UTC
    ",4.3 magnitude,Syriam,Yangon
